id,name,price,image,category,description,nutrients,calories,healthBenefits,tags
1,Red Apple,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg,Fruit,Juicy red apples rich in antioxidants and natural sweetness.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Supports heart health;boosts immunity;improves digestion.,Diabetic Friendly;Best for Snack
2,Banana,₹50/dozen,https://upload.wikimedia.org/wikipedia/commons/8/8a/Banana-Single.jpg,Fruit,Fresh bananas perfect for energy and digestion.,Potassium;Vitamin B6;Fiber,89 kcal per 100g,Regulates blood pressure;provides energy;supports digestion.,Energy Booster;Kid Friendly
200,Golden Pumpkin,₹40/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Golden-fleshed pumpkin.,Vitamin A;Vitamin C;Fiber,26 kcal per 100g,Boosts immunity;good for eyes.,Winter Veg;Vitamin A Rich
201,Durian,₹600/each,https://upload.wikimedia.org/wikipedia/commons/4/4c/Durian.jpg,Fruit,Large tropical fruit known for its strong aroma.,Vitamin C;Potassium;Fiber,150 kcal per 100g,Boosts energy;supports digestion.,Exotic;Tropical
202,Rambutan,₹350/250g,https://upload.wikimedia.org/wikipedia/commons/2/2b/Rambutan.JPG,Fruit,Red hairy fruit with sweet white flesh.,Vitamin C;Iron;Fiber,68 kcal per 100g,Boosts immunity;improves skin.,Exotic;Antioxidant
203,Salak (Snake Fruit),₹400/250g,https://upload.wikimedia.org/wikipedia/commons/6/6b/Salak_Snake_Fruit.jpg,Fruit,Scaly-skinned fruit with sweet-tart flavor.,Potassium;Vitamin C;Fiber,82 kcal per 100g,Boosts energy;improves gut health.,Exotic;Tropical
204,Feijoa,₹300/250g,https://upload.wikimedia.org/wikipedia/commons/3/3e/Feijoa_fruit.jpg,Fruit,Green fruit with aromatic sweet-tart pulp.,Vitamin C;B6;Fiber,55 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Antioxidant
205,Black Sapote,₹350/each,https://upload.wikimedia.org/wikipedia/commons/2/2e/Black_Sapote.jpg,Fruit,Also called chocolate pudding fruit.,Vitamin C;Potassium;Iron,65 kcal per 100g,Improves skin;supports immunity.,Exotic;Dessert Fruit
206,Longan,₹320/250g,https://upload.wikimedia.org/wikipedia/commons/6/6e/Longan_fruit.jpg,Fruit,Sweet translucent fruit similar to lychee.,Vitamin C;Iron;Magnesium,60 kcal per 100g,Boosts immunity;improves sleep.,Exotic;Tropical
207,Chayote,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Chayote.jpg,Vegetable,Green pear-shaped squash.,Vitamin C;Folate;Fiber,19 kcal per 100g,Supports heart health;improves digestion.,Exotic;Squash
208,Lotus Stem,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lotus_root.jpg,Vegetable,Edible stem of lotus plant.,Vitamin C;Fiber;Potassium,74 kcal per 100g,Improves digestion;supports heart health.,Exotic;Asian Veg
209,Water Chestnut,₹90/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Water_chestnut.jpg,Vegetable,Aquatic vegetable with crisp texture.,Potassium;Vitamin B6;Fiber,97 kcal per 100g,Supports hydration;improves digestion.,Exotic;Aquatic Veg
210,Dragon Carrot,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Carrots.jpg,Vegetable,Deep purple carrot variety.,Beta-Carotene;Vitamin A;Fiber,41 kcal per 100g,Improves vision;antioxidant rich.,Exotic;Root Veg
211,Samphire,₹200/250g,https://upload.wikimedia.org/wikipedia/commons/2/2e/Samphire.jpg,Vegetable,Salty green sea vegetable.,Iodine;Vitamin C;Magnesium,45 kcal per 100g,Supports thyroid;improves hydration.,Exotic;Sea Veg
212,Daikon,₹70/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Daikon.jpg,Vegetable,Large white Asian radish.,Vitamin C;Folate;Fiber,18 kcal per 100g,Supports digestion;detoxifies.,Exotic;Asian Veg
213,Enoki Mushroom,₹180/200g,https://upload.wikimedia.org/wikipedia/commons/2/2e/Enokitake.jpg,Vegetable,Long thin white mushrooms.,Vitamin B3;Fiber;Antioxidants,37 kcal per 100g,Boosts immunity;supports metabolism.,Exotic;Mushroom
214,Shiso Leaf,₹150/bundle,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shiso_leaf.jpg,Vegetable,Japanese herb with unique flavor.,Calcium;Iron;Vitamin A,25 kcal per 100g,Anti-inflammatory;freshens breath.,Exotic;Herb
215,Galangal,₹200/kg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Galangal.jpg,Vegetable,Spicy root similar to ginger.,Antioxidants;Iron;Vitamin C,71 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Root Veg
216,Malabar Spinach,₹60/bundle,https://upload.wikimedia.org/wikipedia/commons/2/2e/Malabar_spinach.jpg,Vegetable,Leafy vine with succulent leaves.,Vitamin A;Vitamin C;Iron,19 kcal per 100g,Improves vision;boosts immunity.,Exotic;Leafy Green
